items,prob,bidders
2,0.8675000001,2 Bidders
3,0.9287500001,2 Bidders
4,0.9600000001,2 Bidders
5,0.9762499999,2 Bidders
6,0.9862500001,2 Bidders
7,0.99375,2 Bidders
8,0.9962499999,2 Bidders
9,0.995,2 Bidders
10,1,2 Bidders
11,1,2 Bidders
12,0.9975,2 Bidders
13,1,2 Bidders
14,1,2 Bidders
15,0.99875,2 Bidders
16,1,2 Bidders
17,1,2 Bidders
18,1,2 Bidders
19,1,2 Bidders
20,1,2 Bidders
21,1,2 Bidders
22,1,2 Bidders
23,1,2 Bidders
24,1,2 Bidders
25,1,2 Bidders
26,1,2 Bidders
27,1,2 Bidders
28,1,2 Bidders
29,1,2 Bidders
30,1,2 Bidders
2,0.5715,5 Bidders
3,0.635,5 Bidders
4,0.729,5 Bidders
5,0.7749999999,5 Bidders
6,0.7970000001,5 Bidders
7,0.8075,5 Bidders
8,0.851,5 Bidders
9,0.8714999999,5 Bidders
10,0.8975,5 Bidders
11,0.9064999999,5 Bidders
12,0.9119999999,5 Bidders
13,0.924,5 Bidders
14,0.9305,5 Bidders
15,0.9429999999,5 Bidders
16,0.9584999999,5 Bidders
17,0.9500000001,5 Bidders
18,0.962,5 Bidders
19,0.968,5 Bidders
20,0.9664999999,5 Bidders
21,0.9755000001,5 Bidders
22,0.9789999999,5 Bidders
23,0.9795000001,5 Bidders
24,0.982,5 Bidders
25,0.983,5 Bidders
26,0.9895000001,5 Bidders
27,0.9844999999,5 Bidders
28,0.9955000001,5 Bidders
29,0.9894999999,5 Bidders
30,0.9909999999,5 Bidders
2,0.392,10 Bidders
3,0.4462499999,10 Bidders
4,0.5039999999,10 Bidders
5,0.5400000001,10 Bidders
6,0.5872499999,10 Bidders
7,0.5940000001,10 Bidders
8,0.62625,10 Bidders
9,0.6375,10 Bidders
10,0.6534999999,10 Bidders
11,0.6715000001,10 Bidders
12,0.7025000001,10 Bidders
13,0.6989999999,10 Bidders
14,0.7230000001,10 Bidders
15,0.7312499999,10 Bidders
16,0.7562499999,10 Bidders
17,0.76825,10 Bidders
18,0.7775,10 Bidders
19,0.7915,10 Bidders
20,0.8045,10 Bidders
21,0.8145,10 Bidders
22,0.8097499999,10 Bidders
23,0.8335,10 Bidders
24,0.839,10 Bidders
25,0.8385000001,10 Bidders
26,0.84275,10 Bidders
27,0.8554999999,10 Bidders
28,0.8614999999,10 Bidders
29,0.8722500001,10 Bidders
30,0.8687500001,10 Bidders
2,0.245,25 Bidders
3,0.2797,25 Bidders
4,0.2913999999,25 Bidders
5,0.3079999999,25 Bidders
6,0.3267,25 Bidders
7,0.3479999999,25 Bidders
8,0.3567999999,25 Bidders
9,0.3631,25 Bidders
10,0.3892,25 Bidders
11,0.3879,25 Bidders
12,0.4065,25 Bidders
13,0.4106000001,25 Bidders
14,0.426,25 Bidders
15,0.4329,25 Bidders
16,0.4411000001,25 Bidders
17,0.4377999999,25 Bidders
18,0.4496,25 Bidders
19,0.4559,25 Bidders
20,0.4580999999,25 Bidders
21,0.4681000001,25 Bidders
22,0.4719999999,25 Bidders
23,0.4782000001,25 Bidders
24,0.48,25 Bidders
25,0.4886999999,25 Bidders
26,0.4987999999,25 Bidders
27,0.4931,25 Bidders
28,0.5081999999,25 Bidders
29,0.5143000001,25 Bidders
30,0.5186999999,25 Bidders